location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Mean Bands S2  (2024 only),,,
11,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,31,9.9,0.03198298,0.033930628,0.022665482,0.024049867,0.013547704,0.014346861,0.015283935,0.011233759,0.00796259,0.006256607,0.032,0.033,0.0218,0.0231,0.0128,0.0136,0.0149,0.0112,0.0082,0.0062,0.004138389,0.006007437,0.004224132,0.002268698,0.028855894,0.027173913,0.618101154,0.619223654,,0.9426,1.4111,1.3299,2.3608,2.2293,2.0926,2.8470,4.0167,5.1119,1.0609,1.4970,1.4108,2.5045,2.3650,2.2200,3.0204,4.2613,5.4232,0.7087,0.6680,0.9424,1.6730,1.5798,1.4830,2.0176,2.8465,3.6226,0.7520,0.7088,1.0611,1.7752,1.6763,1.5735,2.1409,3.0204,3.8439,0.4236,0.3993,0.5977,0.5633,0.9443,0.8864,1.2060,1.7014,2.1653,0.4486,0.4228,0.6330,0.5965,1.0590,0.9387,1.2771,1.8018,2.2931,0.4779,0.4504,0.6743,0.6355,1.1282,1.0653,1.3605,1.9195,2.4428,0.3512,0.3311,0.4956,0.4671,0.8292,0.7830,0.7350,1.4108,1.7955,0.2490,0.2347,0.3513,0.3311,0.5877,0.5550,0.5210,0.7088,1.2727,0.1956,0.1844,0.2760,0.2602,0.4618,0.4361,0.4094,0.5569,0.7858,-0.0295,0.1705,0.1416,0.4049,0.3807,0.3533,0.4801,0.6013,0.6728,0.1990,0.1704,0.4293,0.4057,0.3789,0.5025,0.6199,0.6886,-0.0296,0.2518,0.2248,0.1945,0.3372,0.4800,0.5673,0.2793,0.2527,0.2229,0.3632,0.5025,0.5871,-0.0286,-0.0602,0.0934,0.2596,0.3682,-0.0316,0.1217,0.2862,0.3927,0.1527,0.3149,0.4191,0.1704,0.2846,0.1200,,,B12 (individual),0.0875,0.0077,? Very weak
1,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,18,2.42,0.054349823,0.077451534,0.056304817,0.063565847,0.086619583,0.094560735,0.076940425,0.091976681,0.068814668,0.044618757,0.0484,0.0766,0.0587,0.0677,0.1028,0.1001,0.0724,0.0927,0.0795,0.0461,0.011935811,0.017889803,0.01934372,0.041435217,0.052714527,0.052561544,-0.000410069,0.01010101,,0.7017,0.9653,0.8550,0.6275,0.5748,0.7064,0.5909,0.7898,1.2181,1.4251,1.3756,1.2184,0.8942,0.8191,1.0066,0.8421,1.1255,1.7359,1.0360,0.7270,0.8858,0.6500,0.5954,0.7318,0.6122,0.8182,1.2619,1.1696,0.8207,1.1290,0.7339,0.6722,0.8262,0.6911,0.9237,1.4246,1.5937,1.1184,1.5384,1.3627,0.9160,1.1258,0.9418,1.2587,1.9413,1.7399,1.2209,1.6794,1.4876,1.0917,1.2290,1.0281,1.3741,2.1193,1.4157,0.9934,1.3665,1.2104,0.8883,0.8137,0.8365,1.1181,1.7244,1.6923,1.1875,1.6335,1.4470,1.0618,0.9727,1.1954,1.3366,2.0614,1.2661,0.8885,1.2222,1.0826,0.7944,0.7277,0.8944,0.7482,1.5423,0.8210,0.5761,0.7925,0.7019,0.5151,0.4719,0.5799,0.4851,0.6484,-0.1753,-0.0177,-0.0782,-0.2289,-0.2700,-0.1721,-0.2571,-0.1174,0.0983,0.1581,0.0985,-0.0559,-0.0995,0.0033,-0.0857,0.0590,0.2690,-0.0606,-0.2121,-0.2536,-0.1549,-0.2406,-0.1000,0.1158,-0.1535,-0.1960,-0.0952,-0.1827,-0.0396,0.1751,-0.0438,0.0592,-0.0300,0.1145,0.3200,0.1027,0.0139,0.1576,0.3588,-0.0890,0.0557,0.2659,0.1441,0.3467,0.2133,,,?? Ratios & Normalized Differences ??,,,
2,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,2.73,0.039680435,0.053628239,0.026422568,0.022398933,0.013681782,0.015393726,0.013618709,0.013404365,0.009371818,0.006690161,0.0396,0.0537,0.0264,0.0223,0.0135,0.0159,0.0136,0.0132,0.0094,0.0066,0.001497108,0.001000689,0.0006779,0.000938717,-0.082291003,-0.080645161,0.70251395,0.702660382,,0.7399,1.5018,1.7715,2.9002,2.5777,2.9137,2.9603,4.2340,5.9312,1.3515,2.0296,2.3942,3.9197,3.4838,3.9378,4.0008,5.7223,8.0160,0.6659,0.4927,1.1796,1.9312,1.7165,1.9402,1.9712,2.8194,3.9495,0.5645,0.4177,0.8477,1.6371,1.4551,1.6447,1.6710,2.3900,3.3480,0.3448,0.2551,0.5178,0.6108,0.8888,1.0046,1.0207,1.4599,2.0451,0.3879,0.2870,0.5826,0.6873,1.1251,1.1303,1.1484,1.6426,2.3009,0.3432,0.2539,0.5154,0.6080,0.9954,0.8847,1.0160,1.4532,2.0356,0.3378,0.2499,0.5073,0.5984,0.9797,0.8708,0.9843,1.4303,2.0036,0.2362,0.1748,0.3547,0.4184,0.6850,0.6088,0.6882,0.6992,1.4008,0.1686,0.1248,0.2532,0.2987,0.4890,0.4346,0.4912,0.4991,0.7139,-0.1495,0.2006,0.2784,0.4872,0.4410,0.4890,0.4950,0.6179,0.7114,0.3399,0.4108,0.5935,0.5539,0.5950,0.6001,0.7025,0.7782,0.0824,0.3177,0.2637,0.3198,0.3269,0.4764,0.5959,0.2416,0.1854,0.2438,0.2512,0.4100,0.5400,-0.0589,0.0023,0.0102,0.1870,0.3432,0.0612,0.0691,0.2432,0.3941,0.0079,0.1847,0.3412,0.1771,0.3341,0.1670,,,B2/B3,-0.0444,0.0020,? Very weak
3,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,2.62,0.034297488,0.04884414,0.022506835,0.019090105,0.014110119,0.014785179,0.013791032,0.012788982,0.007275046,0.005479354,0.0346,0.0488,0.0225,0.0189,0.0141,0.0146,0.0137,0.0127,0.0069,0.0057,0.001222023,0.000544609,0.000540511,0.000488999,-0.082377589,-0.089156627,0.741224027,0.750452101,,0.7022,1.5239,1.7966,2.4307,2.3197,2.4869,2.6818,4.7144,6.2594,1.4241,2.1702,2.5586,3.4616,3.3036,3.5417,3.8192,6.7139,8.9142,0.6562,0.4608,1.1790,1.5951,1.5223,1.6320,1.7599,3.0937,4.1076,0.5566,0.3908,0.8482,1.3529,1.2912,1.3842,1.4927,2.6241,3.4840,0.4114,0.2889,0.6269,0.7391,0.9543,1.0231,1.1033,1.9395,2.5751,0.4311,0.3027,0.6569,0.7745,1.0478,1.0721,1.1561,2.0323,2.6983,0.4021,0.2823,0.6127,0.7224,0.9774,0.9328,1.0784,1.8957,2.5169,0.3729,0.2618,0.5682,0.6699,0.9064,0.8650,0.9273,1.7579,2.3340,0.2121,0.1489,0.3232,0.3811,0.5156,0.4920,0.5275,0.5689,1.3277,0.1598,0.1122,0.2435,0.2870,0.3883,0.3706,0.3973,0.4284,0.7532,-0.1750,0.2076,0.2848,0.4170,0.3975,0.4264,0.4568,0.6500,0.7245,0.3691,0.4380,0.5517,0.5353,0.5596,0.5850,0.7407,0.7983,0.0821,0.2293,0.2071,0.2401,0.2753,0.5114,0.6084,0.1500,0.1271,0.1612,0.1977,0.4481,0.5540,-0.0234,0.0114,0.0491,0.3196,0.4406,0.0348,0.0724,0.3404,0.4592,0.0377,0.3093,0.4313,0.2748,0.4001,0.1408,,,B2/B4,-0.3622,0.1312,? Weak
4,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,26,2.65,0.034690048,0.047922842,0.023099859,0.01990686,0.014367768,0.015668288,0.015100857,0.013666376,0.007692395,0.006386787,0.03445,0.048,0.0229,0.0199,0.0143,0.0157,0.0151,0.0136,0.0078,0.0064,0.001616447,0.001332486,0.001253988,0.000680671,-0.07387715,-0.073059361,0.723551624,0.71891892,,0.7239,1.5017,1.7426,2.4144,2.2140,2.2972,2.5384,4.5097,5.4315,1.3815,2.0746,2.4074,3.3354,3.0586,3.1735,3.5066,6.2299,7.5034,0.6659,0.4820,1.1604,1.6078,1.4743,1.5297,1.6903,3.0029,3.6168,0.5738,0.4154,0.8618,1.3855,1.2705,1.3183,1.4566,2.5879,3.1169,0.4142,0.2998,0.6220,0.7217,0.9170,0.9515,1.0513,1.8678,2.2496,0.4517,0.3269,0.6783,0.7871,1.0905,1.0376,1.1465,2.0369,2.4532,0.4353,0.3151,0.6537,0.7586,1.0510,0.9638,1.1050,1.9631,2.3644,0.3940,0.2852,0.5916,0.6865,0.9512,0.8722,0.9050,1.7766,2.1398,0.2217,0.1605,0.3330,0.3864,0.5354,0.4910,0.5094,0.5629,1.2044,0.1841,0.1333,0.2765,0.3208,0.4445,0.4076,0.4229,0.4673,0.8303,-0.1602,0.2006,0.2708,0.4143,0.3777,0.3934,0.4348,0.6370,0.6890,0.3495,0.4130,0.5387,0.5072,0.5208,0.5562,0.7234,0.7648,0.0742,0.2331,0.1917,0.2094,0.2566,0.5004,0.5668,0.1616,0.1191,0.1373,0.1859,0.4426,0.5142,-0.0433,-0.0249,0.0250,0.3026,0.3845,0.0184,0.0682,0.3414,0.4208,0.0499,0.3250,0.4055,0.2797,0.3630,0.0927,,,B2/B5,-0.6739,0.4541,? Moderate
5,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,30,3.78,0.035899144,0.054987118,0.027249102,0.023489742,0.011327337,0.012380101,0.011376635,0.010769324,0.008233567,0.0057032,0.036,0.0549,0.0274,0.0234,0.0114,0.0125,0.0113,0.0108,0.0083,0.0056,0.001032709,0.0010925,0.000896716,0.000698323,-0.074040906,-0.073267327,0.739473612,0.737439215,,0.6529,1.3174,1.5283,3.1692,2.8997,3.1555,3.3335,4.3601,6.2946,1.5317,2.0179,2.3409,4.8544,4.4416,4.8333,5.1059,6.6784,9.6415,0.7590,0.4956,1.1600,2.4056,2.2010,2.3952,2.5303,3.3095,4.7779,0.6543,0.4272,0.8620,2.0737,1.8974,2.0647,2.1812,2.8529,4.1187,0.3155,0.2060,0.4157,0.4822,0.9150,0.9957,1.0518,1.3758,1.9861,0.3449,0.2251,0.4543,0.5270,1.0929,1.0882,1.1496,1.5036,2.1707,0.3169,0.2069,0.4175,0.4843,1.0044,0.9189,1.0564,1.3817,1.9948,0.3000,0.1959,0.3952,0.4585,0.9507,0.8699,0.9466,1.3080,1.8883,0.2294,0.1497,0.3022,0.3505,0.7269,0.6651,0.7237,0.7645,1.4437,0.1589,0.1037,0.2093,0.2428,0.5035,0.4607,0.5013,0.5296,0.6927,-0.2100,0.1370,0.2090,0.5203,0.4871,0.5187,0.5385,0.6269,0.7258,0.3373,0.4014,0.6584,0.6325,0.6571,0.6724,0.7395,0.8121,0.0741,0.4127,0.3752,0.4109,0.4335,0.5359,0.6539,0.3493,0.3097,0.3474,0.3713,0.4809,0.6093,-0.0444,-0.0022,0.0253,0.1582,0.3302,0.0422,0.0696,0.2012,0.3692,0.0274,0.1603,0.3322,0.1334,0.3075,0.1816,,,B2/B6,-0.0778,0.0061,? Very weak
6,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,27,2.44,0.033208731,0.048640792,0.022613728,0.020060851,0.015470929,0.018180222,0.016245789,0.016131036,0.00822215,0.005358366,0.0331,0.0486,0.0223,0.02,0.0154,0.018,0.0161,0.0156,0.008,0.0053,0.000928692,0.000946222,0.000893199,0.000389928,-0.059741177,-0.057471264,0.711026172,0.722522497,,0.6827,1.4685,1.6554,2.1465,1.8266,2.0441,2.0587,4.0389,6.1975,1.4647,2.1509,2.4247,3.1440,2.6755,2.9941,3.0154,5.9158,9.0775,0.6810,0.4649,1.1273,1.4617,1.2439,1.3920,1.4019,2.7503,4.2203,0.6041,0.4124,0.8871,1.2967,1.1034,1.2348,1.2436,2.4399,3.7438,0.4659,0.3181,0.6841,0.7712,0.8510,0.9523,0.9591,1.8816,2.8872,0.5475,0.3738,0.8039,0.9063,1.1751,1.1191,1.1270,2.2111,3.3929,0.4892,0.3340,0.7184,0.8098,1.0501,0.8936,1.0071,1.9759,3.0319,0.4857,0.3316,0.7133,0.8041,1.0427,0.8873,0.9929,1.9619,3.0104,0.2476,0.1690,0.3636,0.4099,0.5315,0.4523,0.5061,0.5097,1.5345,0.1614,0.1102,0.2370,0.2671,0.3464,0.2947,0.3298,0.3322,0.6517,-0.1885,0.1898,0.2468,0.3644,0.2924,0.3430,0.3461,0.6031,0.7221,0.3653,0.4160,0.5174,0.4559,0.4993,0.5019,0.7108,0.8015,0.0598,0.1876,0.1087,0.1639,0.1673,0.4667,0.6169,0.1292,0.0492,0.1051,0.1086,0.4186,0.5784,-0.0805,-0.0244,-0.0209,0.3059,0.4855,0.0562,0.0597,0.3772,0.5447,0.0035,0.3279,0.5040,0.3248,0.5013,0.2109,,,B2/B7,-0.3371,0.1136,? Weak
7,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,27,2.11,0.032891986,0.044601389,0.022486119,0.018290175,0.009655874,0.011082765,0.010079046,0.010196702,0.008118793,0.005541291,0.0328,0.0448,0.0228,0.0184,0.01,0.0112,0.0098,0.0104,0.0081,0.0056,0.001410435,0.000858093,0.000835052,0.000893322,-0.102661664,-0.108958838,0.692087543,0.694656491,,0.7375,1.4628,1.7983,3.4064,2.9679,3.2634,3.2257,4.0513,5.9358,1.3560,1.9835,2.4385,4.6191,4.0244,4.4252,4.3741,5.4936,8.0489,0.6836,0.5042,1.2294,2.3288,2.0289,2.2310,2.2052,2.7696,4.0579,0.5561,0.4101,0.8134,1.8942,1.6503,1.8147,1.7937,2.2528,3.3007,0.2936,0.2165,0.4294,0.5279,0.8713,0.9580,0.9470,1.1893,1.7425,0.3369,0.2485,0.4929,0.6059,1.1478,1.0996,1.0869,1.3651,2.0000,0.3064,0.2260,0.4482,0.5511,1.0438,0.9094,0.9885,1.2414,1.8189,0.3100,0.2286,0.4535,0.5575,1.0560,0.9201,1.0117,1.2559,1.8401,0.2468,0.1820,0.3611,0.4439,0.8408,0.7326,0.8055,0.7962,1.4651,0.1685,0.1242,0.2464,0.3030,0.5739,0.5000,0.5498,0.5434,0.6825,-0.1511,0.1879,0.2853,0.5461,0.4959,0.5309,0.5267,0.6041,0.7116,0.3296,0.4184,0.6441,0.6019,0.6313,0.6278,0.6920,0.7790,0.1029,0.3992,0.3397,0.3810,0.3760,0.4694,0.6046,0.3090,0.2454,0.2894,0.2841,0.3851,0.5350,-0.0688,-0.0214,-0.0272,0.0865,0.2707,0.0474,0.0416,0.1544,0.3333,-0.0058,0.1077,0.2905,0.1135,0.2958,0.1887,,,B2/B8,-0.0345,0.0012,? Very weak
8,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,28,2.22,0.030957582,0.043232252,0.021705574,0.018659141,0.011834822,0.015304774,0.012393064,0.011969728,0.009555939,0.005201404,0.031,0.0434,0.0215,0.0184,0.012,0.0152,0.0121,0.0119,0.0095,0.0052,0.001051821,0.00143265,0.001236746,0.001172103,-0.074812348,-0.075117371,0.638186032,0.641851127,,0.7161,1.4263,1.6591,2.6158,2.0227,2.4980,2.5863,3.2396,5.9518,1.3965,1.9918,2.3169,3.6530,2.8248,3.4884,3.6118,4.5241,8.3117,0.7011,0.5021,1.1633,1.8340,1.4182,1.7514,1.8134,2.2714,4.1730,0.6027,0.4316,0.8596,1.5766,1.2192,1.5056,1.5589,1.9526,3.5873,0.3823,0.2737,0.5452,0.6343,0.7733,0.9550,0.9887,1.2385,2.2753,0.4944,0.3540,0.7051,0.8202,1.2932,1.2349,1.2786,1.6016,2.9424,0.4003,0.2867,0.5710,0.6642,1.0472,0.8098,1.0354,1.2969,2.3826,0.3866,0.2769,0.5515,0.6415,1.0114,0.7821,0.9658,1.2526,2.3012,0.3087,0.2210,0.4403,0.5121,0.8074,0.6244,0.7711,0.7983,1.8372,0.1680,0.1203,0.2396,0.2788,0.4395,0.3399,0.4197,0.4345,0.5443,-0.1654,0.1757,0.2479,0.4469,0.3383,0.4282,0.4423,0.5283,0.7123,0.3315,0.3970,0.5702,0.4771,0.5544,0.5663,0.6380,0.7852,0.0755,0.2943,0.1729,0.2731,0.2891,0.3886,0.6134,0.2238,0.0988,0.2018,0.2184,0.3226,0.5640,-0.1279,-0.0230,-0.0057,0.1065,0.3894,0.1051,0.1223,0.2312,0.4927,0.0174,0.1293,0.4087,0.1121,0.3942,0.2951,,,B2/B8A,0.0534,0.0028,? Very weak
9,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,3.91,0.03007613,0.041810559,0.021631845,0.01875549,0.010957231,0.011569573,0.0122803,0.01080476,0.009109997,0.005954325,0.0302,0.0416,0.0217,0.0187,0.0105,0.0119,0.0123,0.0105,0.0094,0.0058,0.000973563,0.000675422,0.000685574,0.00129679,-0.071133421,-0.068965517,0.642397183,0.636726558,,0.7193,1.3904,1.6036,2.7449,2.5996,2.4491,2.7836,3.3014,5.0511,1.3902,1.9328,2.2292,3.8158,3.6138,3.4047,3.8696,4.5895,7.0219,0.7192,0.5174,1.1534,1.9742,1.8697,1.7615,2.0021,2.3745,3.6330,0.6236,0.4486,0.8670,1.7117,1.6211,1.5273,1.7359,2.0588,3.1499,0.3643,0.2621,0.5065,0.5842,0.9471,0.8923,1.0141,1.2028,1.8402,0.3847,0.2767,0.5348,0.6169,1.0559,0.9421,1.0708,1.2700,1.9431,0.4083,0.2937,0.5677,0.6548,1.1207,1.0614,1.1366,1.3480,2.0624,0.3592,0.2584,0.4995,0.5761,0.9861,0.9339,0.8798,1.1860,1.8146,0.3029,0.2179,0.4211,0.4857,0.8314,0.7874,0.7418,0.8431,1.5300,0.1980,0.1424,0.2753,0.3175,0.5434,0.5147,0.4849,0.5511,0.6536,-0.1632,0.1633,0.2318,0.4659,0.4444,0.4201,0.4714,0.5350,0.6695,0.3181,0.3807,0.5847,0.5665,0.5459,0.5893,0.6422,0.7507,0.0712,0.3276,0.3031,0.2758,0.3338,0.4073,0.5683,0.2625,0.2370,0.2086,0.2690,0.3461,0.5181,-0.0272,-0.0569,0.0070,0.0921,0.2958,-0.0298,0.0342,0.1189,0.3204,0.0639,0.1482,0.3469,0.0851,0.2894,0.2095,,,B2/B11,-0.1882,0.0354,? Very weak
10,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,8.01,0.030107591,0.039438417,0.021747568,0.019920059,0.01005142,0.012709924,0.012120888,0.010863382,0.010193309,0.007509446,0.0304,0.0394,0.0217,0.0201,0.0093,0.0125,0.012,0.0115,0.0104,0.0076,0.001282647,0.000996856,0.000658955,0.000756879,-0.044290444,-0.046454768,0.58946383,0.581673324,,0.7634,1.3844,1.5114,2.9954,2.3688,2.4839,2.7715,2.9537,4.0093,1.3099,1.8135,1.9798,3.9237,3.1030,3.2538,3.6304,3.8690,5.2518,0.7223,0.5514,1.0917,2.1636,1.7111,1.7942,2.0019,2.1335,2.8960,0.6616,0.5051,0.9160,1.9818,1.5673,1.6434,1.8337,1.9542,2.6527,0.3339,0.2549,0.4622,0.5046,0.7908,0.8293,0.9253,0.9861,1.3385,0.4222,0.3223,0.5844,0.6380,1.2645,1.0486,1.1700,1.2469,1.6925,0.4026,0.3073,0.5573,0.6085,1.2059,0.9537,1.1158,1.1891,1.6141,0.3608,0.2755,0.4995,0.5453,1.0808,0.8547,0.8963,1.0657,1.4466,0.3386,0.2585,0.4687,0.5117,1.0141,0.8020,0.8410,0.9383,1.3574,0.2494,0.1904,0.3453,0.3770,0.7471,0.5908,0.6195,0.6913,0.7367,-0.1342,0.1612,0.2036,0.4994,0.4063,0.4259,0.4697,0.4941,0.6007,0.2891,0.3288,0.5938,0.5125,0.5298,0.5681,0.5892,0.6801,0.0439,0.3678,0.2623,0.2842,0.3338,0.3617,0.4867,0.3293,0.2210,0.2434,0.2942,0.3230,0.4525,-0.1168,-0.0933,-0.0388,-0.0070,0.1448,0.0237,0.0783,0.1099,0.2572,0.0547,0.0864,0.2349,0.0318,0.1825,0.1516,,,B2/B12,-0.1377,0.0190,? Very weak
11,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,31,16.28,0.028290661,0.038001404,0.022032959,0.021349164,0.012563601,0.014773557,0.013459542,0.014385297,0.010743547,0.00660198,0.0283,0.0381,0.0222,0.0214,0.0125,0.0144,0.0131,0.0142,0.0108,0.0065,0.000875817,0.00075047,0.000732549,0.001266128,-0.015640836,-0.013574661,0.559731154,0.560975611,,0.7445,1.2840,1.3251,2.2518,1.9150,2.1019,1.9666,2.6333,4.2852,1.3432,1.7248,1.7800,3.0247,2.5723,2.8234,2.6417,3.5371,5.7561,0.7788,0.5798,1.0320,1.7537,1.4914,1.6370,1.5316,2.0508,3.3373,0.7546,0.5618,0.9690,1.6993,1.4451,1.5862,1.4841,1.9872,3.2338,0.4441,0.3306,0.5702,0.5885,0.8504,0.9334,0.8734,1.1694,1.9030,0.5222,0.3888,0.6705,0.6920,1.1759,1.0976,1.0270,1.3751,2.2377,0.4758,0.3542,0.6109,0.6304,1.0713,0.9111,0.9356,1.2528,2.0387,0.5085,0.3785,0.6529,0.6738,1.1450,0.9737,1.0688,1.3390,2.1789,0.3798,0.2827,0.4876,0.5032,0.8551,0.7272,0.7982,0.7468,1.6273,0.2334,0.1737,0.2996,0.3092,0.5255,0.4469,0.4905,0.4589,0.6145,-0.1465,0.1243,0.1398,0.3850,0.3139,0.3552,0.3258,0.4495,0.6216,0.2660,0.2806,0.5031,0.4401,0.4769,0.4508,0.5592,0.7040,0.0158,0.2737,0.1972,0.2416,0.2100,0.3444,0.5389,0.2591,0.1820,0.2267,0.1949,0.3305,0.5276,-0.0808,-0.0344,-0.0676,0.0781,0.3111,0.0465,0.0133,0.1579,0.3823,-0.0332,0.1122,0.3418,0.1449,0.3709,0.2388,,,B3/B2,0.0701,0.0049,? Very weak
2,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,11.52,0.04067506,0.079657895,0.042373291,0.05170473,0.023099874,0.025601277,0.01783854,0.023383018,0.022358344,0.019113965,0.0404,0.0796,0.0416,0.0509,0.023,0.0233,0.0169,0.021,0.021,0.0175,0.001916174,0.001545266,0.002299124,0.003886368,0.098460932,0.096412556,0.568845334,0.588638604,,0.5106,0.9599,0.7867,1.7608,1.5888,2.2802,1.7395,1.8192,2.1280,1.9584,1.8799,1.5406,3.4484,3.1115,4.4655,3.4067,3.5628,4.1675,1.0418,0.5319,0.8195,1.8344,1.6551,2.3754,1.8121,1.8952,2.2169,1.2712,0.6491,1.2202,2.2383,2.0196,2.8985,2.2112,2.3125,2.7051,0.5679,0.2900,0.5452,0.4468,0.9023,1.2949,0.9879,1.0332,1.2085,0.6294,0.3214,0.6042,0.4951,1.1083,1.4352,1.0949,1.1450,1.3394,0.4386,0.2239,0.4210,0.3450,0.7722,0.6968,0.7629,0.7978,0.9333,0.5749,0.2935,0.5518,0.4522,1.0123,0.9134,1.3108,1.0458,1.2233,0.5497,0.2807,0.5277,0.4324,0.9679,0.8733,1.2534,0.9562,1.1697,0.4699,0.2400,0.4511,0.3697,0.8274,0.7466,1.0715,0.8174,0.8549,-0.3240,-0.0204,-0.1194,0.2756,0.2274,0.3903,0.2699,0.2906,0.3606,0.3055,0.2128,0.5504,0.5136,0.6341,0.5461,0.5617,0.6130,-0.0992,0.2944,0.2467,0.4075,0.2888,0.3092,0.3783,0.3824,0.3377,0.4870,0.3772,0.3962,0.4602,-0.0514,0.1285,-0.0061,0.0163,0.0944,0.1787,0.0453,0.0676,0.1451,-0.1345,-0.1124,-0.0345,0.0224,0.1005,0.0782,,,B3/B4,-0.2262,0.0512,? Very weak
