location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Median Bands S2  (2024 only),,,
11,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,31,9.9,0.03198298,0.033930628,0.022665482,0.024049867,0.013547704,0.014346861,0.015283935,0.011233759,0.00796259,0.006256607,0.032,0.033,0.0218,0.0231,0.0128,0.0136,0.0149,0.0112,0.0082,0.0062,0.004138389,0.006007437,0.004224132,0.002268698,0.028855894,0.027173913,0.618101154,0.619223654,,0.9697,1.4679,1.3853,2.5000,2.3529,2.1477,2.8571,3.9024,5.1613,1.0313,1.5138,1.4286,2.5781,2.4265,2.2148,2.9464,4.0244,5.3226,0.6813,0.6606,0.9437,1.7031,1.6029,1.4631,1.9464,2.6585,3.5161,0.7219,0.7000,1.0596,1.8047,1.6985,1.5503,2.0625,2.8171,3.7258,0.4000,0.3879,0.5872,0.5541,0.9412,0.8591,1.1429,1.5610,2.0645,0.4250,0.4121,0.6239,0.5887,1.0625,0.9128,1.2143,1.6585,2.1935,0.4656,0.4515,0.6835,0.6450,1.1641,1.0956,1.3304,1.8171,2.4032,0.3500,0.3394,0.5138,0.4848,0.8750,0.8235,0.7517,1.3659,1.8065,0.2563,0.2485,0.3761,0.3550,0.6406,0.6029,0.5503,0.7321,1.3226,0.1938,0.1879,0.2844,0.2684,0.4844,0.4559,0.4161,0.5536,0.7561,-0.0154,0.1896,0.1615,0.4286,0.4035,0.3646,0.4815,0.5920,0.6754,0.2044,0.1765,0.4410,0.4163,0.3779,0.4932,0.6019,0.6837,-0.0290,0.2601,0.2316,0.1880,0.3212,0.4533,0.5571,0.2869,0.2589,0.2158,0.3469,0.4760,0.5768,-0.0303,-0.0758,0.0667,0.2190,0.3474,-0.0456,0.0968,0.2477,0.3737,0.1418,0.2900,0.4123,0.1546,0.2874,0.1389,,,B12 (individual),0.0789,0.0062,? Very weak
1,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,18,2.42,0.054349823,0.077451534,0.056304817,0.063565847,0.086619583,0.094560735,0.076940425,0.091976681,0.068814668,0.044618757,0.0484,0.0766,0.0587,0.0677,0.1028,0.1001,0.0724,0.0927,0.0795,0.0461,0.011935811,0.017889803,0.01934372,0.041435217,0.052714527,0.052561544,-0.000410069,0.01010101,,0.6319,0.8245,0.7149,0.4708,0.4835,0.6685,0.5221,0.6088,1.0499,1.5826,1.3049,1.1315,0.7451,0.7652,1.0580,0.8263,0.9635,1.6616,1.2128,0.7663,0.8671,0.5710,0.5864,0.8108,0.6332,0.7384,1.2733,1.3988,0.8838,1.1533,0.6586,0.6763,0.9351,0.7303,0.8516,1.4685,2.1240,1.3420,1.7513,1.5185,1.0270,1.4199,1.1090,1.2931,2.2299,2.0682,1.3068,1.7053,1.4786,0.9737,1.3826,1.0798,1.2591,2.1714,1.4959,0.9452,1.2334,1.0694,0.7043,0.7233,0.7810,0.9107,1.5705,1.9153,1.2102,1.5792,1.3693,0.9018,0.9261,1.2804,1.1660,2.0108,1.6426,1.0379,1.3543,1.1743,0.7733,0.7942,1.0981,0.8576,1.7245,0.9525,0.6018,0.7853,0.6809,0.4484,0.4605,0.6367,0.4973,0.5799,-0.2256,-0.0962,-0.1662,-0.3598,-0.3481,-0.1987,-0.3140,-0.2432,0.0243,0.1323,0.0617,-0.1460,-0.1330,0.0282,-0.0951,-0.0186,0.2486,-0.0712,-0.2731,-0.2607,-0.1045,-0.2246,-0.1505,0.1202,-0.2059,-0.1931,-0.0335,-0.1559,-0.0802,0.1898,0.0133,0.1735,0.0517,0.1278,0.3808,0.1606,0.0384,0.1147,0.3694,-0.1230,-0.0467,0.2219,0.0767,0.3357,0.2659,,,?? Ratios & Normalized Differences ??,,,
2,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,2.73,0.039680435,0.053628239,0.026422568,0.022398933,0.013681782,0.015393726,0.013618709,0.013404365,0.009371818,0.006690161,0.0396,0.0537,0.0264,0.0223,0.0135,0.0159,0.0136,0.0132,0.0094,0.0066,0.001497108,0.001000689,0.0006779,0.000938717,-0.082291003,-0.080645161,0.70251395,0.702660382,,0.7374,1.5000,1.7758,2.9333,2.4906,2.9118,3.0000,4.2128,6.0000,1.3561,2.0341,2.4081,3.9778,3.3774,3.9485,4.0682,5.7128,8.1364,0.6667,0.4916,1.1839,1.9556,1.6604,1.9412,2.0000,2.8085,4.0000,0.5631,0.4153,0.8447,1.6519,1.4025,1.6397,1.6894,2.3723,3.3788,0.3409,0.2514,0.5114,0.6054,0.8491,0.9926,1.0227,1.4362,2.0455,0.4015,0.2961,0.6023,0.7130,1.1778,1.1691,1.2045,1.6915,2.4091,0.3434,0.2533,0.5152,0.6099,1.0074,0.8553,1.0303,1.4468,2.0606,0.3333,0.2458,0.5000,0.5919,0.9778,0.8302,0.9706,1.4043,2.0000,0.2374,0.1750,0.3561,0.4215,0.6963,0.5912,0.6912,0.7121,1.4242,0.1667,0.1229,0.2500,0.2960,0.4889,0.4151,0.4853,0.5000,0.7021,-0.1511,0.2000,0.2795,0.4915,0.4270,0.4887,0.5000,0.6163,0.7143,0.3408,0.4132,0.5982,0.5431,0.5958,0.6054,0.7021,0.7811,0.0842,0.3233,0.2482,0.3200,0.3333,0.4749,0.6000,0.2458,0.1675,0.2423,0.2563,0.4069,0.5433,-0.0816,-0.0037,0.0112,0.1790,0.3433,0.0780,0.0928,0.2569,0.4133,0.0149,0.1826,0.3465,0.1681,0.3333,0.1750,,,B2/B3,-0.0743,0.0055,? Very weak
3,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,2.62,0.034297488,0.04884414,0.022506835,0.019090105,0.014110119,0.014785179,0.013791032,0.012788982,0.007275046,0.005479354,0.0346,0.0488,0.0225,0.0189,0.0141,0.0146,0.0137,0.0127,0.0069,0.0057,0.001222023,0.000544609,0.000540511,0.000488999,-0.082377589,-0.089156627,0.741224027,0.750452101,,0.7090,1.5378,1.8307,2.4539,2.3699,2.5255,2.7244,5.0145,6.0702,1.4104,2.1689,2.5820,3.4610,3.3425,3.5620,3.8425,7.0725,8.5614,0.6503,0.4611,1.1905,1.5957,1.5411,1.6423,1.7717,3.2609,3.9474,0.5462,0.3873,0.8400,1.3404,1.2945,1.3796,1.4882,2.7391,3.3158,0.4075,0.2889,0.6267,0.7460,0.9658,1.0292,1.1102,2.0435,2.4737,0.4220,0.2992,0.6489,0.7725,1.0355,1.0657,1.1496,2.1159,2.5614,0.3960,0.2807,0.6089,0.7249,0.9716,0.9384,1.0787,1.9855,2.4035,0.3671,0.2602,0.5644,0.6720,0.9007,0.8699,0.9270,1.8406,2.2281,0.1994,0.1414,0.3067,0.3651,0.4894,0.4726,0.5036,0.5433,1.2105,0.1647,0.1168,0.2533,0.3016,0.4043,0.3904,0.4161,0.4488,0.8261,-0.1703,0.2119,0.2935,0.4209,0.4065,0.4327,0.4630,0.6675,0.7171,0.3689,0.4417,0.5517,0.5394,0.5616,0.5870,0.7522,0.7908,0.0870,0.2295,0.2129,0.2431,0.2784,0.5306,0.5957,0.1455,0.1284,0.1595,0.1962,0.4651,0.5366,-0.0174,0.0144,0.0522,0.3429,0.4242,0.0318,0.0696,0.3581,0.4384,0.0379,0.3301,0.4124,0.2959,0.3804,0.0952,,,B2/B4,-0.3390,0.1149,? Weak
4,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,26,2.65,0.034690048,0.047922842,0.023099859,0.01990686,0.014367768,0.015668288,0.015100857,0.013666376,0.007692395,0.006386787,0.03445,0.048,0.0229,0.0199,0.0143,0.0157,0.0151,0.0136,0.0078,0.0064,0.001616447,0.001332486,0.001253988,0.000680671,-0.07387715,-0.073059361,0.723551624,0.71891892,,0.7177,1.5044,1.7312,2.4091,2.1943,2.2815,2.5331,4.4167,5.3828,1.3933,2.0961,2.4121,3.3566,3.0573,3.1788,3.5294,6.1538,7.5000,0.6647,0.4771,1.1508,1.6014,1.4586,1.5166,1.6838,2.9359,3.5781,0.5776,0.4146,0.8690,1.3916,1.2675,1.3179,1.4632,2.5513,3.1094,0.4151,0.2979,0.6245,0.7186,0.9108,0.9470,1.0515,1.8333,2.2344,0.4557,0.3271,0.6856,0.7889,1.0979,1.0397,1.1544,2.0128,2.4531,0.4383,0.3146,0.6594,0.7588,1.0559,0.9618,1.1103,1.9359,2.3594,0.3948,0.2833,0.5939,0.6834,0.9510,0.8662,0.9007,1.7436,2.1250,0.2264,0.1625,0.3406,0.3920,0.5455,0.4968,0.5166,0.5735,1.2188,0.1858,0.1333,0.2795,0.3216,0.4476,0.4076,0.4238,0.4706,0.8205,-0.1643,0.2014,0.2677,0.4133,0.3739,0.3905,0.4339,0.6308,0.6867,0.3540,0.4138,0.5409,0.5071,0.5214,0.5584,0.7204,0.7647,0.0701,0.2312,0.1865,0.2053,0.2548,0.4919,0.5631,0.1637,0.1180,0.1371,0.1881,0.4368,0.5133,-0.0467,-0.0272,0.0251,0.2941,0.3816,0.0195,0.0717,0.3362,0.4208,0.0523,0.3188,0.4047,0.2710,0.3600,0.0986,,,B2/B5,-0.6783,0.4601,? Moderate
5,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,30,3.78,0.035899144,0.054987118,0.027249102,0.023489742,0.011327337,0.012380101,0.011376635,0.010769324,0.008233567,0.0057032,0.036,0.0549,0.0274,0.0234,0.0114,0.0125,0.0113,0.0108,0.0083,0.0056,0.001032709,0.0010925,0.000896716,0.000698323,-0.074040906,-0.073267327,0.739473612,0.737439215,,0.6557,1.3139,1.5385,3.1579,2.8800,3.1858,3.3333,4.3373,6.4286,1.5250,2.0036,2.3462,4.8158,4.3920,4.8584,5.0833,6.6145,9.8036,0.7611,0.4991,1.1709,2.4035,2.1920,2.4248,2.5370,3.3012,4.8929,0.6500,0.4262,0.8540,2.0526,1.8720,2.0708,2.1667,2.8193,4.1786,0.3167,0.2077,0.4161,0.4872,0.9120,1.0088,1.0556,1.3735,2.0357,0.3472,0.2277,0.4562,0.5342,1.0965,1.1062,1.1574,1.5060,2.2321,0.3139,0.2058,0.4124,0.4829,0.9912,0.9040,1.0463,1.3614,2.0179,0.3000,0.1967,0.3942,0.4615,0.9474,0.8640,0.9558,1.3012,1.9286,0.2306,0.1512,0.3029,0.3547,0.7281,0.6640,0.7345,0.7685,1.4821,0.1556,0.1020,0.2044,0.2393,0.4912,0.4480,0.4956,0.5185,0.6747,-0.2079,0.1356,0.2121,0.5190,0.4845,0.5222,0.5385,0.6253,0.7308,0.3341,0.4023,0.6561,0.6291,0.6586,0.6712,0.7373,0.8149,0.0787,0.4124,0.3734,0.4160,0.4346,0.5350,0.6606,0.3448,0.3036,0.3487,0.3684,0.4763,0.6138,-0.0460,0.0044,0.0270,0.1574,0.3412,0.0504,0.0730,0.2019,0.3812,0.0226,0.1531,0.3373,0.1309,0.3171,0.1942,,,B2/B6,-0.0890,0.0079,? Very weak
6,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,27,2.44,0.033208731,0.048640792,0.022613728,0.020060851,0.015470929,0.018180222,0.016245789,0.016131036,0.00822215,0.005358366,0.0331,0.0486,0.0223,0.02,0.0154,0.018,0.0161,0.0156,0.008,0.0053,0.000928692,0.000946222,0.000893199,0.000389928,-0.059741177,-0.057471264,0.711026172,0.722522497,,0.6811,1.4843,1.6550,2.1494,1.8389,2.0559,2.1218,4.1375,6.2453,1.4683,2.1794,2.4300,3.1558,2.7000,3.0186,3.1154,6.0750,9.1698,0.6737,0.4588,1.1150,1.4481,1.2389,1.3851,1.4295,2.7875,4.2075,0.6042,0.4115,0.8969,1.2987,1.1111,1.2422,1.2821,2.5000,3.7736,0.4653,0.3169,0.6906,0.7700,0.8556,0.9565,0.9872,1.9250,2.9057,0.5438,0.3704,0.8072,0.9000,1.1688,1.1180,1.1538,2.2500,3.3962,0.4864,0.3313,0.7220,0.8050,1.0455,0.8944,1.0321,2.0125,3.0377,0.4713,0.3210,0.6996,0.7800,1.0130,0.8667,0.9689,1.9500,2.9434,0.2417,0.1646,0.3587,0.4000,0.5195,0.4444,0.4969,0.5128,1.5094,0.1601,0.1091,0.2377,0.2650,0.3442,0.2944,0.3292,0.3397,0.6625,-0.1897,0.1949,0.2467,0.3649,0.2955,0.3455,0.3593,0.6107,0.7240,0.3709,0.4169,0.5188,0.4595,0.5023,0.5140,0.7173,0.8033,0.0544,0.1830,0.1067,0.1615,0.1768,0.4719,0.6159,0.1299,0.0526,0.1080,0.1236,0.4286,0.5810,-0.0778,-0.0222,-0.0065,0.3162,0.4879,0.0557,0.0714,0.3846,0.5451,0.0158,0.3361,0.5047,0.3220,0.4928,0.2030,,,B2/B7,-0.3265,0.1066,? Weak
7,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,27,2.11,0.032891986,0.044601389,0.022486119,0.018290175,0.009655874,0.011082765,0.010079046,0.010196702,0.008118793,0.005541291,0.0328,0.0448,0.0228,0.0184,0.01,0.0112,0.0098,0.0104,0.0081,0.0056,0.001410435,0.000858093,0.000835052,0.000893322,-0.102661664,-0.108958838,0.692087543,0.694656491,,0.7321,1.4386,1.7826,3.2800,2.9286,3.3469,3.1538,4.0494,5.8571,1.3659,1.9649,2.4348,4.4800,4.0000,4.5714,4.3077,5.5309,8.0000,0.6951,0.5089,1.2391,2.2800,2.0357,2.3265,2.1923,2.8148,4.0714,0.5610,0.4107,0.8070,1.8400,1.6429,1.8776,1.7692,2.2716,3.2857,0.3049,0.2232,0.4386,0.5435,0.8929,1.0204,0.9615,1.2346,1.7857,0.3415,0.2500,0.4912,0.6087,1.1200,1.1429,1.0769,1.3827,2.0000,0.2988,0.2188,0.4298,0.5326,0.9800,0.8750,0.9423,1.2099,1.7500,0.3171,0.2321,0.4561,0.5652,1.0400,0.9286,1.0612,1.2840,1.8571,0.2470,0.1808,0.3553,0.4402,0.8100,0.7232,0.8265,0.7788,1.4464,0.1707,0.1250,0.2456,0.3043,0.5600,0.5000,0.5714,0.5385,0.6914,-0.1546,0.1799,0.2813,0.5327,0.4909,0.5399,0.5185,0.6039,0.7083,0.3254,0.4177,0.6350,0.6000,0.6410,0.6232,0.6938,0.7778,0.1068,0.3902,0.3412,0.3988,0.3735,0.4757,0.6056,0.2958,0.2432,0.3050,0.2778,0.3887,0.5333,-0.0566,0.0101,-0.0196,0.1050,0.2821,0.0667,0.0370,0.1606,0.3333,-0.0297,0.0950,0.2727,0.1243,0.3000,0.1825,,,B2/B8,-0.0263,0.0007,? Very weak
8,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,28,2.22,0.030957582,0.043232252,0.021705574,0.018659141,0.011834822,0.015304774,0.012393064,0.011969728,0.009555939,0.005201404,0.031,0.0434,0.0215,0.0184,0.012,0.0152,0.0121,0.0119,0.0095,0.0052,0.001051821,0.00143265,0.001236746,0.001172103,-0.074812348,-0.075117371,0.638186032,0.641851127,,0.7143,1.4419,1.6848,2.5833,2.0395,2.5620,2.6050,3.2632,5.9615,1.4000,2.0186,2.3587,3.6167,2.8553,3.5868,3.6471,4.5684,8.3462,0.6935,0.4954,1.1685,1.7917,1.4145,1.7769,1.8067,2.2632,4.1346,0.5935,0.4240,0.8558,1.5333,1.2105,1.5207,1.5462,1.9368,3.5385,0.3871,0.2765,0.5581,0.6522,0.7895,0.9917,1.0084,1.2632,2.3077,0.4903,0.3502,0.7070,0.8261,1.2667,1.2562,1.2773,1.6000,2.9231,0.3903,0.2788,0.5628,0.6576,1.0083,0.7961,1.0168,1.2737,2.3269,0.3839,0.2742,0.5535,0.6467,0.9917,0.7829,0.9835,1.2526,2.2885,0.3065,0.2189,0.4419,0.5163,0.7917,0.6250,0.7851,0.7983,1.8269,0.1677,0.1198,0.2419,0.2826,0.4333,0.3421,0.4298,0.4370,0.5474,-0.1667,0.1810,0.2551,0.4419,0.3420,0.4385,0.4452,0.5309,0.7127,0.3374,0.4045,0.5668,0.4812,0.5640,0.5696,0.6408,0.7860,0.0777,0.2836,0.1717,0.2798,0.2874,0.3871,0.6105,0.2105,0.0952,0.2066,0.2145,0.3190,0.5593,-0.1176,-0.0041,0.0042,0.1163,0.3953,0.1136,0.1218,0.2308,0.4902,0.0083,0.1204,0.3988,0.1121,0.3918,0.2925,,,B2/B8A,0.1176,0.0138,? Very weak
9,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,3.91,0.03007613,0.041810559,0.021631845,0.01875549,0.010957231,0.011569573,0.0122803,0.01080476,0.009109997,0.005954325,0.0302,0.0416,0.0217,0.0187,0.0105,0.0119,0.0123,0.0105,0.0094,0.0058,0.000973563,0.000675422,0.000685574,0.00129679,-0.071133421,-0.068965517,0.642397183,0.636726558,,0.7260,1.3917,1.6150,2.8762,2.5378,2.4553,2.8762,3.2128,5.2069,1.3775,1.9171,2.2246,3.9619,3.4958,3.3821,3.9619,4.4255,7.1724,0.7185,0.5216,1.1604,2.0667,1.8235,1.7642,2.0667,2.3085,3.7414,0.6192,0.4495,0.8618,1.7810,1.5714,1.5203,1.7810,1.9894,3.2241,0.3477,0.2524,0.4839,0.5615,0.8824,0.8537,1.0000,1.1170,1.8103,0.3940,0.2861,0.5484,0.6364,1.1333,0.9675,1.1333,1.2660,2.0517,0.4073,0.2957,0.5668,0.6578,1.1714,1.0336,1.1714,1.3085,2.1207,0.3477,0.2524,0.4839,0.5615,1.0000,0.8824,0.8537,1.1170,1.8103,0.3113,0.2260,0.4332,0.5027,0.8952,0.7899,0.7642,0.8952,1.6207,0.1921,0.1394,0.2673,0.3102,0.5524,0.4874,0.4715,0.5524,0.6170,-0.1588,0.1638,0.2352,0.4840,0.4347,0.4212,0.4840,0.5253,0.6778,0.3144,0.3798,0.5969,0.5551,0.5436,0.5969,0.6314,0.7553,0.0743,0.3478,0.2917,0.2765,0.3478,0.3955,0.5782,0.2808,0.2222,0.2065,0.2808,0.3310,0.5265,-0.0625,-0.0789,0.0000,0.0553,0.2883,-0.0165,0.0625,0.1174,0.3446,0.0789,0.1336,0.3591,0.0553,0.2883,0.2368,,,B2/B11,-0.1964,0.0386,? Very weak
10,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,29,8.01,0.030107591,0.039438417,0.021747568,0.019920059,0.01005142,0.012709924,0.012120888,0.010863382,0.010193309,0.007509446,0.0304,0.0394,0.0217,0.0201,0.0093,0.0125,0.012,0.0115,0.0104,0.0076,0.001282647,0.000996856,0.000658955,0.000756879,-0.044290444,-0.046454768,0.58946383,0.581673324,,0.7716,1.4009,1.5124,3.2688,2.4320,2.5333,2.6435,2.9231,4.0000,1.2961,1.8157,1.9602,4.2366,3.1520,3.2833,3.4261,3.7885,5.1842,0.7138,0.5508,1.0796,2.3333,1.7360,1.8083,1.8870,2.0865,2.8553,0.6612,0.5102,0.9263,2.1613,1.6080,1.6750,1.7478,1.9327,2.6447,0.3059,0.2360,0.4286,0.4627,0.7440,0.7750,0.8087,0.8942,1.2237,0.4112,0.3173,0.5760,0.6219,1.3441,1.0417,1.0870,1.2019,1.6447,0.3947,0.3046,0.5530,0.5970,1.2903,0.9600,1.0435,1.1538,1.5789,0.3783,0.2919,0.5300,0.5721,1.2366,0.9200,0.9583,1.1058,1.5132,0.3421,0.2640,0.4793,0.5174,1.1183,0.8320,0.8667,0.9043,1.3684,0.2500,0.1929,0.3502,0.3781,0.8172,0.6080,0.6333,0.6609,0.7308,-0.1289,0.1670,0.2040,0.5315,0.4172,0.4340,0.4511,0.4902,0.6000,0.2897,0.3244,0.6181,0.5183,0.5331,0.5481,0.5823,0.6766,0.0383,0.4000,0.2690,0.2878,0.3072,0.3520,0.4812,0.3673,0.2331,0.2523,0.2722,0.3180,0.4513,-0.1468,-0.1268,-0.1058,-0.0558,0.1006,0.0204,0.0417,0.0917,0.2438,0.0213,0.0714,0.2245,0.0502,0.2042,0.1556,,,B2/B12,-0.1396,0.0195,? Very weak
11,2024-05-21 0:00:00,2024-05-20 0:00:00,1,Sentinel-2B,Sentinel-2,20.741975,30,SCL_class6_OR_MNDWI_gt_0,31,16.28,0.028290661,0.038001404,0.022032959,0.021349164,0.012563601,0.014773557,0.013459542,0.014385297,0.010743547,0.00660198,0.0283,0.0381,0.0222,0.0214,0.0125,0.0144,0.0131,0.0142,0.0108,0.0065,0.000875817,0.00075047,0.000732549,0.001266128,-0.015640836,-0.013574661,0.559731154,0.560975611,,0.7428,1.2748,1.3224,2.2640,1.9653,2.1603,1.9930,2.6204,4.3538,1.3463,1.7162,1.7804,3.0480,2.6458,2.9084,2.6831,3.5278,5.8615,0.7845,0.5827,1.0374,1.7760,1.5417,1.6947,1.5634,2.0556,3.4154,0.7562,0.5617,0.9640,1.7120,1.4861,1.6336,1.5070,1.9815,3.2923,0.4417,0.3281,0.5631,0.5841,0.8681,0.9542,0.8803,1.1574,1.9231,0.5088,0.3780,0.6486,0.6729,1.1520,1.0992,1.0141,1.3333,2.2154,0.4629,0.3438,0.5901,0.6121,1.0480,0.9097,0.9225,1.2130,2.0154,0.5018,0.3727,0.6396,0.6636,1.1360,0.9861,1.0840,1.3148,2.1846,0.3816,0.2835,0.4865,0.5047,0.8640,0.7500,0.8244,0.7606,1.6615,0.2297,0.1706,0.2928,0.3037,0.5200,0.4514,0.4962,0.4577,0.6019,-0.1476,0.1208,0.1388,0.3873,0.3255,0.3671,0.3318,0.4476,0.6264,0.2637,0.2807,0.5059,0.4514,0.4883,0.4570,0.5583,0.7085,0.0183,0.2795,0.2131,0.2578,0.2198,0.3455,0.5470,0.2625,0.1955,0.2406,0.2022,0.3292,0.5341,-0.0706,-0.0234,-0.0637,0.0730,0.3158,0.0473,0.0070,0.1429,0.3780,-0.0403,0.0962,0.3367,0.1360,0.3720,0.2486,,,B3/B2,0.0805,0.0065,? Very weak
2,2024-06-28 0:00:00,2024-06-24 0:00:00,4,Sentinel-2A,Sentinel-2,21.972352,30,SCL_class6_OR_MNDWI_gt_0,29,11.52,0.04067506,0.079657895,0.042373291,0.05170473,0.023099874,0.025601277,0.01783854,0.023383018,0.022358344,0.019113965,0.0404,0.0796,0.0416,0.0509,0.023,0.0233,0.0169,0.021,0.021,0.0175,0.001916174,0.001545266,0.002299124,0.003886368,0.098460932,0.096412556,0.568845334,0.588638604,,0.5075,0.9712,0.7937,1.7565,1.7339,2.3905,1.9238,1.9238,2.3086,1.9703,1.9135,1.5639,3.4609,3.4163,4.7101,3.7905,3.7905,4.5486,1.0297,0.5226,0.8173,1.8087,1.7854,2.4615,1.9810,1.9810,2.3771,1.2599,0.6394,1.2236,2.2130,2.1845,3.0118,2.4238,2.4238,2.9086,0.5693,0.2889,0.5529,0.4519,0.9871,1.3609,1.0952,1.0952,1.3143,0.5767,0.2927,0.5601,0.4578,1.0130,1.3787,1.1095,1.1095,1.3314,0.4183,0.2123,0.4063,0.3320,0.7348,0.7253,0.8048,0.8048,0.9657,0.5198,0.2638,0.5048,0.4126,0.9130,0.9013,1.2426,1.0000,1.2000,0.5198,0.2638,0.5048,0.4126,0.9130,0.9013,1.2426,1.0000,1.2000,0.4332,0.2198,0.4207,0.3438,0.7609,0.7511,1.0355,0.8333,0.8333,-0.3267,-0.0146,-0.1150,0.2744,0.2684,0.4101,0.3160,0.3160,0.3955,0.3135,0.2199,0.5517,0.5471,0.6497,0.5825,0.5825,0.6395,-0.1005,0.2879,0.2820,0.4222,0.3291,0.3291,0.4078,0.3775,0.3720,0.5015,0.4159,0.4159,0.4883,-0.0065,0.1529,0.0455,0.0455,0.1358,0.1592,0.0519,0.0519,0.1422,-0.1082,-0.1082,-0.0174,0.0000,0.0909,0.0909,,,B3/B4,-0.2133,0.0455,? Very weak
